announced,body_type,camera_name,sensor_size,dp_score,n_had,n_own,n_want,price_high,price_low,questions,reviewed_date,user_review_count,user_score
"Apr 3, 2006
 ",Ultracompact,Leica C-LUX 1,"1/2.5"" (5.744 x 4.308 mm)",,7,1,0,,,0 questions asked,,16,4.63125
"Mar 7, 2007
 ",,Leica C-LUX 2,,,3,3,0,,,0 questions asked,,3,4.23333
"Sep 15, 2008
 ",Compact,Leica C-LUX 3,"1/2.33"" (6.08 x 4.56 mm)",,6,2,0,,,0 questions asked,,2,4.05
"Sep 16, 1998
 ",,Leica Digilux,,,3,1,1,,,0 questions asked,,2,4.7
"Feb 24, 2002
 ",Compact,Leica Digilux 1,"1/1.76"" (7.32 x 5.49 mm)",,6,6,0,,,0 questions asked,,62,4.13871
"Dec 1, 2003
 ",Compact,Leica Digilux 2,"2/3"" (8.8 x 6.6 mm)",,26,37,1,,,1 question asked,"Reviewed May 10, 2004",31,4.67742
"Sep 14, 2006
 ",Mid-size SLR,Leica Digilux 3,Four Thirds (17.3 x 13 mm),,11,18,3,,,0 questions asked,,34,4.56538
"Sep 1, 2000
 ",Compact,Leica Digilux 4.3,"1/1.7"" (7.44 x 5.58 mm)",,1,5,0,,,0 questions asked,,30,4.19667
"Feb 4, 2000
 ",,Leica Digilux Zoom,,,2,1,0,,,0 questions asked,,21,4.19048
"Sep 15, 2014
 ",Large sensor compact,Leica D-Lux (Typ 109),Four Thirds (17.3 x 13 mm),,27,100,45,,,8 questions asked,,9,4.27778
"Oct 1, 2005
 ",Compact,Leica D-LUX 2,"1/1.65"" (8.498 x 4.78 mm)",,6,7,0,,,0 questions asked,,34,3.96176
"Sep 14, 2006
 ",Ultracompact,Leica D-LUX 3,"1/1.65"" (8.498 x 4.78 mm)",,23,30,1,"$1,999.99 ","$1,499.00 ",0 questions asked,,45,4.34889
"Sep 15, 2008
 ",Compact,Leica D-LUX 4,"1/1.63"" (8.07 x 5.56 mm)",,40,62,3,,,5 questions asked,,34,4.46471
"Sep 21, 2010
 ",Compact,Leica D-LUX 5,"1/1.63"" (8.07 x 5.56 mm)",,18,45,5,,,6 questions asked,,5,3.9
"Sep 17, 2012
 ",Compact,Leica D-Lux 6,"1/1.7"" (7.44 x 5.58 mm)",,12,55,15,,,17 questions asked,,4,3.125
"Nov 19, 2015
 ",Rangefinder-style mirrorless,Leica M (Typ 262),Full frame (35.8 x 23.9 mm),,2,17,29,,,1 question asked,,2,4.75
"Sep 16, 2014
 ",Rangefinder-style mirrorless,Leica M Edition 60,Full frame (36 x 24 mm),,1,8,31,,,0 questions asked,,1,4
"Apr 30, 2015
 ",Rangefinder-style mirrorless,Leica M Monochrom (Typ 246),Full frame (35.8 x 23.9 mm),,34,57,218,,,23 questions asked,,4,4.75
"Sep 17, 2012
 ",Rangefinder-style mirrorless,Leica M Typ 240,Full frame (36 x 24 mm),,37,226,136,,,10 questions asked,,13,4.14423
"Jan 18, 2017
 ",Rangefinder-style mirrorless,Leica M10,Full frame (35.8 x 23.9 mm),,23,46,158,,,28 questions asked,"Reviewed Jan 18, 2017",,
"Sep 14, 2006
 ",Rangefinder-style mirrorless,Leica M8,APS-H (27 x 18 mm),,73,88,11,,,3 questions asked,"Reviewed Jul 31, 2007",38,4.41579
"Sep 15, 2008
 ",Rangefinder-style mirrorless,Leica M8.2,APS-H (27 x 18 mm),,26,28,9,,,0 questions asked,,4,4.6
"Sep 9, 2009
 ",Rangefinder-style mirrorless,Leica M9,Full frame (36 x 24 mm),,69,190,113,,,6 questions asked,"Reviewed Sep 9, 2009",34,4.25047
"Jun 21, 2011
 ",Rangefinder-style mirrorless,Leica M9-P,Full frame (36 x 24 mm),,18,89,89,,,1 question asked,,,
"Sep 17, 2012
 ",Rangefinder-style mirrorless,Leica M-E Typ 220,Full frame (36 x 24 mm),,7,21,17,,,2 questions asked,,,
"May 10, 2012
 ",Rangefinder-style mirrorless,Leica M-Monochrom,Full frame (36 x 24 mm),,14,59,92,,,2 questions asked,"Reviewed May 10, 2012",3,5
"Aug 21, 2014
 ",Rangefinder-style mirrorless,Leica M-P (Typ 240),Full frame (36 x 24 mm),,1,21,3,,,0 questions asked,,1,4
"Jun 10, 2015
 ",Large sensor compact,Leica Q (Typ 116),Full frame (36 x 24 mm),80%,68,193,325,,,9 questions asked,"Reviewed Mar 23, 2016",16,4.10206
